"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","MSZoning_R","Street_R","Alley_R","LotShape_R","LandContour_R","Utilities_R","LotConfig_R","LandSlope_R","Neighborhood_R","Condition1_R","Condition2_R","BldgType_R","HouseStyle_R","RoofStyle_R","RoofMatl_R","Exterior1st_R","Exterior2nd_R","MasVnrType_R","ExterQual_R","ExterCond_R","Foundation_R","BsmtQual_R","BsmtCond_R","BsmtExposure_R","BsmtFinType1_R","BsmtFinType2_R","Heating_R","HeatingQC_R","CentralAir_R","Electrical_R","KitchenQual_R","Functional_R","FireplaceQu_R","GarageType_R","GarageFinish_R","GarageQual_R","GarageCond_R","PavedDrive_R","PoolQC_R","Fence_R","MiscFeature_R","SaleType_R","SaleCondition_R","MSZoning_C","Street_C","Alley_C","LotShape_C","LandContour_C","Utilities_C","LotConfig_C","LandSlope_C","Neighborhood_C","Condition1_C","Condition2_C","BldgType_C","HouseStyle_C","RoofStyle_C","RoofMatl_C","Exterior1st_C","Exterior2nd_C","MasVnrType_C","ExterQual_C","ExterCond_C","Foundation_C","BsmtQual_C","BsmtCond_C","BsmtExposure_C","BsmtFinType1_C","BsmtFinType2_C","Heating_C","HeatingQC_C","CentralAir_C","Electrical_C","KitchenQual_C","Functional_C","FireplaceQu_C","GarageType_C","GarageFinish_C","GarageQual_C","GarageCond_C","PavedDrive_C","PoolQC_C","Fence_C","MiscFeature_C","SaleType_C","SaleCondition_C","YrBltAndRemod","TotalSF","Total_sqr_footage","Total_Bathrooms","Total_porch_sf"
"1","60","RL",65,13.8330547912931,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,3.99151663325503,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",19.4331741405701,"Gd","TA","PConc","Gd","TA","No","GLQ",144.117862426725,"Unf",0,29.9910522317051,422.488452202163,"GasA","Ex","Y","SBrkr",5.93903267388716,1025.65197842369,0,8.35354389141319,0.993439755709873,0,2,1.06883651632936,3,0.750956851539637,"Gd",2.26196795863693,"Typ",0,"None","Attchd",2003,"RFn",2,548,"TA","TA","Y",0,12.0803094418992,0,0,0,0,"None","None","None",0,"2","2008","WD","Normal",12.2476991163726,4,2,0,0.556413567999529,0.888575538839921,2,0.678301360238875,0.429656418517716,17,5,5,5,7,0.517951725692616,0.507818748023065,12,13,2.96939576428487,1.62941712868699,4,6,3,3,0.660769284439014,6,5,6,5,2,5,3,7,0,5,2,3,5,3,0,0,0,2.30690385500519,5,1149,1452,0,925,1311,1457,1051,1380,9.48613879458928,1260,1444,1218,443,1141,1433,515,504,445,488,1280,645,618,1309,953,416,1254,1426,739,1363,1332,586,1358,0,869,422,1309,1324,1338,0,0,0,1267,1198,4006,35.5761522115953,12.1593299150165,3.5,18.7361170736129
"2","20","RL",80,14.1179183536695,"Pave","None","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,6.00003250391683,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",181.719185960948,"Unf",0,44.1354097227889,593.888092184158,"GasA","Ex","Y","SBrkr",6.2349891150354,0,0,7.97469402949497,0,0.710895287299139,2,0,3,0.750956851539637,"TA",1.9965772716641,"Typ",0.903334070668931,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",56.1842249390338,0,0,0,0,0,"None","None","None",0,"5","2007","WD","Normal",12.1090164423137,4,2,0,0.556413567999529,0.888575538839921,2,1.06162978326912,0.429656418517716,21,3,5,5,6,0.517951725692616,0.507818748023065,5,6,1.98439706006336,1.24785385364991,4,3,3,3,1.44195296880716,4,5,6,5,2,5,2,7,3,5,2,3,5,3,0,0,0,2.30690385500519,5,1149,1452,0,925,1311,1457,47,1380,3.35982012950325,80,1444,1218,726,1141,1433,220,214,864,906,1280,634,618,1309,132,220,1254,1426,739,1363,1332,735,1358,313,869,422,1309,1324,1338,0,0,0,1267,1198,3952,35.3718864156667,11.9861320822125,2.5,51.6354576087463
"3","60","RL",68,14.4765130355255,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,3.99151663325503,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",17.7688396327931,"Gd","TA","PConc","Gd","TA","Mn","GLQ",110.441033395005,"Unf",0,56.8965278215956,450.079653943878,"GasA","Ex","Y","SBrkr",5.99433479779696,1040.52105940881,0,8.40806458640369,0.993439755709873,0,2,1.06883651632936,3,0.750956851539637,"Gd",1.9965772716641,"Typ",0.903334070668931,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",0,9.90108113708223,0,0,0,0,"None","None","None",0,"9","2008","WD","Normal",12.3171711672987,4,2,0,0.78174567719594,0.888575538839921,2,0.678301360238875,0.429656418517716,17,5,5,5,7,0.517951725692616,0.507818748023065,12,13,2.96939576428487,1.62941712868699,4,6,3,3,1.01876002303482,6,5,6,5,2,5,3,7,3,5,2,3,5,3,0,0,0,2.30690385500519,5,1149,1452,0,483,1311,1457,1051,1380,9.48613879458928,1260,1444,1218,443,1141,1433,515,504,445,488,1280,645,618,1309,114,416,1254,1426,739,1363,1332,586,1358,313,869,422,1309,1324,1338,0,0,0,1267,1198,4003,36.2410714210958,12.0185056700831,3.5,14.6546396638021
"4","70","RL",60,14.1061970952684,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,3.99151663325503,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",61.7953147292554,"Unf",0,64.8088484626412,378.854517080141,"GasA","Gd","Y","SBrkr",6.02770290254113,904.47742151792,0,8.3586627215456,0.993439755709873,0,1,0,3,0.750956851539637,"Gd",2.13736935538079,"Typ",0.903334070668931,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",0,8.96611584317837,16.0207115623129,0,0,0,"None","None","None",0,"2","2006","WD","Abnorml",11.8494048444231,4,2,0,0.78174567719594,0.888575538839921,2,1.32775594936095,0.429656418517716,18,5,5,5,7,0.517951725692616,0.507818748023065,6,9,1.98439706006336,1.24785385364991,4,2,2,4,0.660769284439014,4,5,6,4,2,5,3,7,4,2,1,3,5,3,0,0,0,2.30690385500519,2,1149,1452,0,483,1311,1457,262,1380,6.46541298088798,1260,1444,1218,443,1141,1433,206,38,864,906,1280,146,649,65,953,220,1254,1426,241,1363,1332,586,1358,378,387,605,1309,1324,1338,0,0,0,1267,101,3885,35.120723096388,11.6526164737138,2,52.6094619778449
"5","60","RL",84,15.0220087701447,"Pave","None","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,3.99151663325503,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",25.4041632967541,"Gd","TA","PConc","Gd","TA","Av","GLQ",136.624601066528,"Unf",0,61.1663708327732,545.309848740735,"GasA","Ex","Y","SBrkr",6.16122013252119,1273.02486245469,0,8.66932179350392,0.993439755709873,0,2,1.06883651632936,4,0.750956851539637,"Gd",2.37375281692154,"Typ",0.903334070668931,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",42.2457030822252,14.2715691480678,0,0,0,0,"None","None","None",0,"12","2008","WD","Normal",12.4292201968364,4,2,0,0.78174567719594,0.888575538839921,2,1.06162978326912,0.429656418517716,25,5,5,5,7,0.517951725692616,0.507818748023065,12,13,2.96939576428487,1.62941712868699,4,6,3,3,1.26078409318848,6,5,6,5,2,5,3,7,3,5,2,3,5,3,0,0,0,2.30690385500519,5,1149,1452,0,483,1311,1457,47,1380,5.94488098188787,1260,1444,1218,443,1141,1433,515,504,445,488,1280,645,618,1309,221,416,1254,1426,739,1363,1332,586,1358,313,869,422,1309,1324,1338,0,0,0,1267,1198,4000,39.0023166740601,12.5450102406493,3.5,49.2052307211605
"6","50","RL",85,14.9982576169186,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,3.99151663325503,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",147.876483319866,"Unf",0,17.7180362059467,396.388923651722,"GasA","Ex","Y","SBrkr",5.88314268734598,671.029690245114,0,8.069454410564,0.993439755709873,0,1,1.06883651632936,1,0.750956851539637,"TA",1.83465857242314,"Typ",0,"None","Attchd",1993,"Unf",2,480,"TA","TA","Y",14.9121997352278,8.23543015072565,0,7.11465310152201,0,0,"None","MnPrv","Shed",6.93747304583832,"10","2009","WD","Normal",11.8706069022246,4,2,0,0.78174567719594,0.888575538839921,2,0.678301360238875,0.429656418517716,12,5,5,5,3,0.517951725692616,0.507818748023065,12,13,1.98439706006336,1.24785385364991,4,5,3,3,0.660769284439014,6,5,6,5,2,5,2,7,0,5,1,3,5,3,0,3.16585138931192,1.19184400113152,2.30690385500519,5,1149,1452,0,483,1311,1457,1051,1380,6.3678817268241,1260,1444,1218,154,1141,1433,515,504,864,906,1280,3,618,1309,953,416,1254,1426,739,1363,1332,735,1358,0,869,605,1309,1324,1338,0,9.98802284679122,0.597938944029032,1267,1198,3988,33.485804659393,11.8329773278923,2.5,61.1227589997662
"7","20","RL",75,14.2285897073365,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,3.99151663325503,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",18.9622832989546,"Gd","TA","PConc","Ex","TA","Av","GLQ",230.755721094201,"Unf",0,47.1473061315384,765.64123162528,"GasA","Ex","Y","SBrkr",6.45654349261614,0,0,8.34176703934536,0.993439755709873,0,2,0,3,0.750956851539637,"Gd",2.13736935538079,"Typ",0.903334070668931,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",50.7946975308848,11.6558193614711,0,0,0,0,"None","None","None",0,"8","2007","WD","Normal",12.634606283893,4,2,0,0.556413567999529,0.888575538839921,2,0.678301360238875,0.429656418517716,20,5,5,5,6,0.517951725692616,0.507818748023065,12,13,3.95138772019329,1.62941712868699,4,6,4,3,1.26078409318848,6,5,6,5,2,5,3,7,4,5,2,3,5,3,0,0,0,2.30690385500519,5,1149,1452,0,925,1311,1457,1051,1380,7.83086370369671,1260,1444,1218,726,1141,1433,515,504,126,488,1280,645,119,1309,221,416,1254,1426,739,1363,1332,586,1358,378,869,422,1309,1324,1338,0,0,0,1267,1198,4009,39.1512877821551,12.711877151897,3,53.1457888822253
"8","60","RL",76,14.294345045916,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,4.67950029371714,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",21.3553297620388,"TA","TA","CBlock","Gd","TA","Mn","ALQ",165.705771326005,"BLQ",4.74919598290669,37.4228000394721,529.402502876542,"GasA","Ex","Y","SBrkr",6.13556585842287,1185.82425565175,0,8.60575240399714,0.993439755709873,0,2,1.06883651632936,3,0.750956851539637,"TA",2.13736935538079,"Typ",1.68825446550595,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",48.1748629496233,22.3295389548954,14.9582186563295,0,0,0,"None","None","Shed",6.16751771730291,"11","2009","WD","Normal",12.2060776455177,4,2,0,0.78174567719594,0.888575538839921,2,1.32775594936095,0.429656418517716,14,8,5,5,7,0.517951725692616,0.507818748023065,9,10,3.95138772019329,1.24785385364991,4,3,3,3,1.01876002303482,4,1,6,5,2,5,2,7,3,5,2,3,5,3,0,0,1.19184400113152,2.30690385500519,5,1149,1452,0,483,1311,1457,262,1380,7.38380387294813,18,1444,1218,443,1141,1433,222,207,126,906,1280,634,618,1309,114,220,33,1426,739,1363,1332,735,1358,313,869,422,1309,1324,1338,0,0,0.597938944029032,1267,1198,3946,38.4033135296966,12.6479723362217,3.5,85.4166687083911
"9","50","RM",51,13.1269887422155,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,3.99151663325503,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,90.7034746284142,463.785330299129,"GasA","Gd","Y","FuseF",6.07470833908117,899.541672694062,0,8.39960731364748,0,0,2,0,2,1.24854328855515,"TA",2.26196795863693,"Min1",1.68825446550595,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",25.6935526242482,0,14.3470759923826,0,0,0,"None","None","None",0,"4","2008","WD","Abnorml",11.7745279008585,2,2,0,0.556413567999529,0.888575538839921,2,0.678301360238875,0.429656418517716,6,1,5,5,3,0.517951725692616,0.507818748023065,11,9,1.98439706006336,1.24785385364991,4,2,2,3,0.660769284439014,5,5,6,4,2,3,2,4,3,2,1,2,5,3,0,0,0,2.30690385500519,2,218,1452,0,925,1311,1457,1051,1380,8.61590001471458,48,1444,1218,154,1141,1433,50,38,864,906,1280,146,649,1309,953,430,1254,1426,241,1363,27,735,31,313,387,605,48,1324,1338,0,0,0,1267,101,3881,36.334139094364,11.46081997887,2,51.3082632542558
"10","190","RL",50,13.5461361020549,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,4.67950029371714,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",164.606644177092,"Unf",0,28.7541661565149,480.412370029409,"GasA","Ex","Y","SBrkr",6.11465826442841,0,0,7.77842950942425,0.993439755709873,0,1,0,2,1.24854328855515,"TA",1.83465857242314,"Typ",1.68825446550595,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",0,2.36707748466483,0,0,0,0,"None","None","None",0,"1","2008","WD","Normal",11.6784483779882,4,2,0,0.556413567999529,0.888575538839921,2,1.32775594936095,0.429656418517716,4,1,2,1,1,0.517951725692616,0.507818748023065,5,6,1.98439706006336,1.24785385364991,4,2,2,3,0.660769284439014,6,5,6,5,2,5,2,7,3,5,2,4,5,3,0,0,0,2.30690385500519,5,1149,1452,0,925,1311,1457,262,1380,6.78556162945195,48,2,31,14,1141,1433,220,214,864,906,1280,146,649,1309,953,416,1254,1426,739,1363,1332,735,1358,313,869,422,14,1324,1338,0,0,0,1267,1198,3889,32.9891395563235,11.64680334559,2,2.73872212861862
